Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status,brand,name,defaultimage,baseprice,shoetype,usagetype
air-max-270,Air Max 270,<p>Nike Air Max 270. Category: Running.</p>,Nike,running_shoe,"running_shoe, sport, nike",TRUE,Color,Pink,Size,US 7,NIKE-AIRMAX270-PINK-US7,500,shopify,100,deny,manual,3450000,4140000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Air Max 270,FALSE,Air Max 270 | Nike,Buy Air Max 270 by Nike. Type: running_shoe. Usage: sport.,active,Nike,Air Max 270,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,3450000,running_shoe,sport
stan-smith,Stan Smith,<p>Adidas Stan Smith. Category: Casual.</p>,Adidas,sneaker,"sneaker, casual, adidas",TRUE,Color,White/Green,Size,US 9,ADIDAS-STANSMITH-WHITE/-US9,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Stan Smith,FALSE,Stan Smith | Adidas,Buy Stan Smith by Adidas. Type: sneaker. Usage: casual.,active,Adidas,Stan Smith,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1840000,sneaker,casual
club-c-85,Club C 85,<p>Reebok Club C 85. Category: Casual.</p>,Reebok,sneaker,"sneaker, casual, reebok",TRUE,Color,Pink,Size,US 8.5,REEBOK-CLUBC85-PINK-US8.,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Club C 85,FALSE,Club C 85 | Reebok,Buy Club C 85 by Reebok. Type: sneaker. Usage: casual.,active,Reebok,Club C 85,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1610000,sneaker,casual
one-star,One Star,<p>Converse One Star. Category: Skate.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Black,Size,US 10,CONVERSE-ONESTAR-BLACK-US10,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1,One Star,FALSE,One Star | Converse,Buy One Star by Converse. Type: sneaker. Usage: casual.,active,Converse,One Star,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1725000,sneaker,casual
rs-fast,RS-Fast,<p>Puma RS-Fast. Category: Lifestyle.</p>,Puma,sneaker,"sneaker, casual, puma",TRUE,Color,Yellow,Size,US 9.5,PUMA-RS-FAST-YELLOW-US9.,500,shopify,100,deny,manual,2530000,3036000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,RS-Fast,FALSE,RS-Fast | Puma,Buy RS-Fast by Puma. Type: sneaker. Usage: casual.,active,Puma,RS-Fast,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2530000,sneaker,casual
authentic,Authentic,<p>Vans Authentic. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,White,Size,US 6,VANS-AUTHENTIC-WHITE-US6,500,shopify,100,deny,manual,1150000,1380000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Authentic,FALSE,Authentic | Vans,Buy Authentic by Vans. Type: sneaker. Usage: casual.,active,Vans,Authentic,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1150000,sneaker,casual
fresh-foam-1080v11,Fresh Foam 1080v11,<p>New Balance Fresh Foam 1080v11. Category: Running.</p>,New Balance,running_shoe,"running_shoe, sport, new balance",TRUE,Color,Blue,Size,US 11.5,NEWBALAN-FRESHFOAM1-BLUE-US11,500,shopify,100,deny,manual,3450000,4140000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Fresh Foam 1080v11,FALSE,Fresh Foam 1080v11 | New Balance,Buy Fresh Foam 1080v11 by New Balance. Type: running_shoe. Usage: sport.,active,New Balance,Fresh Foam 1080v11,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,3450000,running_shoe,sport
gel-nimbus-23,Gel-Nimbus 23,<p>Asics Gel-Nimbus 23. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Purple,Size,US 8,ASICS-GEL-NIMBUS-PURPLE-US8,500,shopify,100,deny,manual,3450000,4140000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Gel-Nimbus 23,FALSE,Gel-Nimbus 23 | Asics,Buy Gel-Nimbus 23 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Nimbus 23,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3450000,running_shoe,sport
ray-tracer,Ray Tracer,<p>Fila Ray Tracer. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,Black,Size,US 10,FILA-RAYTRACER-BLACK-US10,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1,Ray Tracer,FALSE,Ray Tracer | Fila,Buy Ray Tracer by Fila. Type: sneaker. Usage: casual.,active,Fila,Ray Tracer,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=400,1610000,sneaker,casual
arch-fit,Arch Fit,<p>Skechers Arch Fit. Category: Walking.</p>,Skechers,sneaker,"sneaker, casual, skechers",TRUE,Color,Grey,Size,US 7.5,SKECHERS-ARCHFIT-GREY-US7.,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Arch Fit,FALSE,Arch Fit | Skechers,Buy Arch Fit by Skechers. Type: sneaker. Usage: casual.,active,Skechers,Arch Fit,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1610000,sneaker,casual
air-force-1,Air Force 1,<p>Nike Air Force 1. Category: Casual.</p>,Nike,sneaker,"sneaker, casual, nike",TRUE,Color,White,Size,US 10,NIKE-AIRFORCE1-WHITE-US10,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Air Force 1,FALSE,Air Force 1 | Nike,Buy Air Force 1 by Nike. Type: sneaker. Usage: casual.,active,Nike,Air Force 1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2070000,sneaker,casual
nmdr1,NMD_R1,<p>Adidas NMD_R1. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Black/Pink,Size,US 8.5,ADIDAS-NMD_R1-BLACK/-US8.,500,shopify,100,deny,manual,3220000,3864000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,NMD_R1,FALSE,NMD_R1 | Adidas,Buy NMD_R1 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,NMD_R1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3220000,running_shoe,sport
zig-kinetica-ii,Zig Kinetica II,<p>Reebok Zig Kinetica II. Category: Running.</p>,Reebok,running_shoe,"running_shoe, sport, reebok",TRUE,Color,White,Size,US 11,REEBOK-ZIGKINETIC-WHITE-US11,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Zig Kinetica II,FALSE,Zig Kinetica II | Reebok,Buy Zig Kinetica II by Reebok. Type: running_shoe. Usage: sport.,active,Reebok,Zig Kinetica II,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2760000,running_shoe,sport
jack-purcell,Jack Purcell,<p>Converse Jack Purcell. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Navy,Size,US 7.5,CONVERSE-JACKPURCEL-NAVY-US7.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Jack Purcell,FALSE,Jack Purcell | Converse,Buy Jack Purcell by Converse. Type: sneaker. Usage: casual.,active,Converse,Jack Purcell,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1495000,sneaker,casual
calibrate-runner,Calibrate Runner,<p>Puma Calibrate Runner. Category: Running.</p>,Puma,running_shoe,"running_shoe, sport, puma",TRUE,Color,Black,Size,US 9.5,PUMA-CALIBRATER-BLACK-US9.,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Calibrate Runner,FALSE,Calibrate Runner | Puma,Buy Calibrate Runner by Puma. Type: running_shoe. Usage: sport.,active,Puma,Calibrate Runner,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1840000,running_shoe,sport
sk8-hi,Sk8-Hi,<p>Vans Sk8-Hi. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Black/White,Size,US 8,VANS-SK8-HI-BLACK/-US8,500,shopify,100,deny,manual,1610000,1932000,TRUE,TRUE,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1,Sk8-Hi,FALSE,Sk8-Hi | Vans,Buy Sk8-Hi by Vans. Type: sneaker. Usage: casual.,active,Vans,Sk8-Hi,https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=400,1610000,sneaker,casual
327,327,<p>New Balance 327. Category: Lifestyle.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Blue/Orange,Size,US 10,NEWBALAN-327-BLUE/O-US10,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,327,FALSE,327 | New Balance,Buy 327 by New Balance. Type: sneaker. Usage: casual.,active,New Balance,327,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2070000,sneaker,casual
gel-quantum-180,Gel-Quantum 180,<p>Asics Gel-Quantum 180. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Grey,Size,US 9,ASICS-GEL-QUANTU-GREY-US9,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Gel-Quantum 180,FALSE,Gel-Quantum 180 | Asics,Buy Gel-Quantum 180 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Quantum 180,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,2760000,running_shoe,sport
mindblower,Mindblower,<p>Fila Mindblower. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White,Size,US 8.5,FILA-MINDBLOWER-WHITE-US8.,500,shopify,100,deny,manual,1725000,2070000,TRUE,TRUE,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1,Mindblower,FALSE,Mindblower | Fila,Buy Mindblower by Fila. Type: sneaker. Usage: casual.,active,Fila,Mindblower,https://images.unsplash.com/photo-1460353581641-37baddab0fa2?w=400,1725000,sneaker,casual
dlites,D'Lites,<p>Skechers D'Lites. Category: Walking.</p>,Skechers,sneaker,"sneaker, casual, skechers",TRUE,Color,Black,Size,US 7,SKECHERS-D'LITES-BLACK-US7,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1,D'Lites,FALSE,D'Lites | Skechers,Buy D'Lites by Skechers. Type: sneaker. Usage: casual.,active,Skechers,D'Lites,https://images.unsplash.com/photo-1515955656352-a1fa3ffcd111?w=400,1495000,sneaker,casual
air-max-2090,Air Max 2090,<p>Nike Air Max 2090. Category: Running.</p>,Nike,running_shoe,"running_shoe, sport, nike",TRUE,Color,Grey,Size,US 9,NIKE-AIRMAX2090-GREY-US9,500,shopify,100,deny,manual,3450000,4140000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Air Max 2090,FALSE,Air Max 2090 | Nike,Buy Air Max 2090 by Nike. Type: running_shoe. Usage: sport.,active,Nike,Air Max 2090,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3450000,running_shoe,sport
adizero-adios-5,Adizero Adios 5,<p>Adidas Adizero Adios 5. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Blue,Size,US 7.5,ADIDAS-ADIZEROADI-BLUE-US7.,500,shopify,100,deny,manual,3910000,4692000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Adizero Adios 5,FALSE,Adizero Adios 5 | Adidas,Buy Adizero Adios 5 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,Adizero Adios 5,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,3910000,running_shoe,sport
nano-9,Nano 9,<p>Reebok Nano 9. Category: Cross-training.</p>,Reebok,training_shoe,"training_shoe, sport, reebok",TRUE,Color,Black,Size,US 10,REEBOK-NANO9-BLACK-US10,500,shopify,100,deny,manual,2990000,3588000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Nano 9,FALSE,Nano 9 | Reebok,Buy Nano 9 by Reebok. Type: training_shoe. Usage: sport.,active,Reebok,Nano 9,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,2990000,training_shoe,sport
chuck-70,Chuck 70,<p>Converse Chuck 70. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,Pink,Size,US 9,CONVERSE-CHUCK70-PINK-US9,500,shopify,100,deny,manual,1955000,2346000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Chuck 70,FALSE,Chuck 70 | Converse,Buy Chuck 70 by Converse. Type: sneaker. Usage: casual.,active,Converse,Chuck 70,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1955000,sneaker,casual
future-rider-play,Future Rider Play,<p>Puma Future Rider Play. Category: Lifestyle.</p>,Puma,sneaker,"sneaker, casual, puma",TRUE,Color,Black/Red,Size,US 9,PUMA-FUTURERIDE-BLACK/-US9,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Future Rider Play,FALSE,Future Rider Play | Puma,Buy Future Rider Play by Puma. Type: sneaker. Usage: casual.,active,Puma,Future Rider Play,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2070000,sneaker,casual
slip-on,Slip-On,<p>Vans Slip-On. Category: Skate.</p>,Vans,sneaker,"sneaker, casual, vans",TRUE,Color,Checkered,Size,US 7,VANS-SLIP-ON-CHECKE-US7,500,shopify,100,deny,manual,1150000,1380000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Slip-On,FALSE,Slip-On | Vans,Buy Slip-On by Vans. Type: sneaker. Usage: casual.,active,Vans,Slip-On,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1150000,sneaker,casual
574,574,<p>New Balance 574. Category: Casual.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Black/Grey,Size,US 9,NEWBALAN-574-BLACK/-US9,500,shopify,100,deny,manual,1840000,2208000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,574,FALSE,574 | New Balance,Buy 574 by New Balance. Type: sneaker. Usage: casual.,active,New Balance,574,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1840000,sneaker,casual
gel-kayano-27,Gel-Kayano 27,<p>Asics Gel-Kayano 27. Category: Running.</p>,Asics,running_shoe,"running_shoe, sport, asics",TRUE,Color,Purple,Size,US 8.5,ASICS-GEL-KAYANO-PURPLE-US8.,500,shopify,100,deny,manual,3680000,4416000,TRUE,TRUE,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,1,Gel-Kayano 27,FALSE,Gel-Kayano 27 | Asics,Buy Gel-Kayano 27 by Asics. Type: running_shoe. Usage: sport.,active,Asics,Gel-Kayano 27,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=400,3680000,running_shoe,sport
venom,Venom,<p>Fila Venom. Category: Fashion.</p>,Fila,sneaker,"sneaker, casual, fila",TRUE,Color,White/Red,Size,US 9.5,FILA-VENOM-WHITE/-US9.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Venom,FALSE,Venom | Fila,Buy Venom by Fila. Type: sneaker. Usage: casual.,active,Fila,Venom,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1495000,sneaker,casual
go-walk-5,Go Walk 5,<p>Skechers Go Walk 5. Category: Walking.</p>,Skechers,sneaker,"sneaker, casual, skechers",TRUE,Color,Black,Size,US 7.5,SKECHERS-GOWALK5-BLACK-US7.,500,shopify,100,deny,manual,1380000,1656000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,Go Walk 5,FALSE,Go Walk 5 | Skechers,Buy Go Walk 5 by Skechers. Type: sneaker. Usage: casual.,active,Skechers,Go Walk 5,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1380000,sneaker,casual
air-force-1,Air Force 1,<p>Nike Air Force 1. Category: Casual.</p>,Nike,sneaker,"sneaker, casual, nike",TRUE,Color,White,Size,US 11,NIKE-AIRFORCE1-WHITE-US11,500,shopify,100,deny,manual,2070000,2484000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Air Force 1,FALSE,Air Force 1 | Nike,Buy Air Force 1 by Nike. Type: sneaker. Usage: casual.,active,Nike,Air Force 1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2070000,sneaker,casual
nmdr1,NMD_R1,<p>Adidas NMD_R1. Category: Running.</p>,Adidas,running_shoe,"running_shoe, sport, adidas",TRUE,Color,Black,Size,US 9,ADIDAS-NMD_R1-BLACK-US9,500,shopify,100,deny,manual,3220000,3864000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,NMD_R1,FALSE,NMD_R1 | Adidas,Buy NMD_R1 by Adidas. Type: running_shoe. Usage: sport.,active,Adidas,NMD_R1,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,3220000,running_shoe,sport
zig-kinetica-ii,Zig Kinetica II,<p>Reebok Zig Kinetica II. Category: Running.</p>,Reebok,running_shoe,"running_shoe, sport, reebok",TRUE,Color,White,Size,US 9.5,REEBOK-ZIGKINETIC-WHITE-US9.,500,shopify,100,deny,manual,2760000,3312000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Zig Kinetica II,FALSE,Zig Kinetica II | Reebok,Buy Zig Kinetica II by Reebok. Type: running_shoe. Usage: sport.,active,Reebok,Zig Kinetica II,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,2760000,running_shoe,sport
jack-purcell,Jack Purcell,<p>Converse Jack Purcell. Category: Casual.</p>,Converse,sneaker,"sneaker, casual, converse",TRUE,Color,White,Size,US 10,CONVERSE-JACKPURCEL-WHITE-US10,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1,Jack Purcell,FALSE,Jack Purcell | Converse,Buy Jack Purcell by Converse. Type: sneaker. Usage: casual.,active,Converse,Jack Purcell,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=400,1495000,sneaker,casual
suede-classic,Suede Classic,<p>Puma Suede Classic. Category: Casual.</p>,Puma,sneaker,"sneaker, casual, puma",TRUE,Color,Beige,Size,US 8.5,PUMA-SUEDECLASS-BEIGE-US8.,500,shopify,100,deny,manual,1495000,1794000,TRUE,TRUE,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1,Suede Classic,FALSE,Suede Classic | Puma,Buy Suede Classic by Puma. Type: sneaker. Usage: casual.,active,Puma,Suede Classic,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519?w=400,1495000,sneaker,casual
327,327,<p>New Balance 327. Category: Casual.</p>,New Balance,sneaker,"sneaker, casual, new balance",TRUE,Color,Orange,Size,US 7.5,NEWBALAN-327-ORANGE-US7.,500,shopify,100,deny,manual,2300000,2760000,TRUE,TRUE,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,1,327,FALSE,327 | New Balance,Buy 327 by New Balance. Type: sneaker. Usage: casual.,active,New Balance,327,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=400,2300000,sneaker,casual
